name,rating,Total Rating,Company Info,Highly Rated For,Critically Rated For
Aditya Birla Fashion and Retail,4.2,(3.5k),Fashion & Textile | Mumbai +245 other locations,"Job Security, Skill Development / Learning, Company Culture",
CARS24,3.6,(3.4k),Internet | Gurgaon +155 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Reliance Communications,4.0,(3.4k),Telecom | Navi Mumbai +438 other locations,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal
Varun Beverages,4.1,(3.3k),Beverage | Gurgaon/Gurugram +309 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",
Randstad,3.8,(3.3k),Recruitment | Chennai +281 other locations,,"Promotions / Appraisal, Job Security"
PolicyBazaar,3.6,(3.3k),Internet | Gurgaon +106 other locations,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction"
EY Global Delivery Services ( EY GDS),3.6,(3.3k),Accounting & Auditing | Bangalore/Bengaluru +40 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
L&T Finance,4.0,(3.3k),NBFC | Mumbai +503 other locations,"Salary & Benefits, Skill Development / Learning",
Tata Communications,4.1,(3.2k),Telecom | Mumbai +93 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Intas Pharmaceuticals,4.1,(3.2k),Ahmedabad +127 other locations,"Job Security, Salary & Benefits, Work Life Balance",
Deutsche Bank,3.9,(3.2k),Banking | Frankfurt +39 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
John Deere,4.1,(3.2k),Industrial Machinery | Moline +121 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Kogta Financial India Limited,4.8,(3.2k),NBFC | Jaipur +229 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Royal Enfield,4.2,(3.2k),Automobile | Gurgaon/Gurugram +328 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
Team Lease,3.9,(3.2k),Recruitment | Bangalore/Bengaluru +328 other locations,,Promotions / Appraisal
LG Electronics,4.0,(3.2k),Consumer Electronics & Appliances | Seoul +266 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
Thermax Limited,4.2,(3.1k),Industrial Machinery | Pune +196 other locations,"Job Security, Company Culture, Skill Development / Learning",
R1 RCM,3.9,(3.1k),Healthcare | Murray +37 other locations,"Job Security, Company Culture, Work Life Balance",
Macleods Pharmaceuticals,3.6,(3.1k),Mumbai +109 other locations,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Havells,4.0,(3.1k),Electrical Equipment | Noida +198 other locations,"Work Life Balance, Salary & Benefits, Company Culture",
HDFC Ergo General Insurance,4.0,(3.1k),Insurance | Mumbai +273 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Access Healthcare,3.9,(3.1k),Analytics & KPO | Dallas +34 other locations,"Job Security, Company Culture",Promotions / Appraisal
Hetero Drugs,3.9,(3.1k),Pharma | Hyderabad/Secunderabad +50 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Tata AIA Life Insurance,4.0,(3.1k),Insurance | Mumbai +366 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",
Aakash Educational Services,3.5,(3k),Education & Training | New Delhi +219 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Godrej & Boyce Manufacturing,3.9,(3k),Consumer Electronics & Appliances | Mumbai +136 other locations,Job Security,Promotions / Appraisal
Publicis Sapient,3.5,(3k),IT Services & Consulting | Boston +32 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Cummins,4.3,(3k),Industrial Machinery | Columbus +93 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
Future Group,4.3,(3k),Retail | Mumbai +202 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Samvardhana Motherson Group,3.8,(3k),Auto Components | Noida +80 other locations,Job Security,"Promotions / Appraisal, Work Life Balance"
PVR Inox,4.0,(3k),Media & Entertainment | Gurgaon +137 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal
VE Commercial Vehicles,4.0,(3k),Automobile | Gurgaon/Gurugram +135 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Viatris,4.2,(3k),Pharma | Canonsburg +74 other locations,"Salary & Benefits, Job Security, Work Life Balance",
DCB Bank,3.8,(3k),Banking | Mumbai +313 other locations,Work Life Balance,
Utkarsh Small Finance Bank,3.9,(3k),Banking | Varanasi +330 other locations,,
Atos,3.8,(3k),IT Services & Consulting | Vilnius +45 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Abbott,4.2,(3k),Pharma | Illinois City +183 other locations,"Salary & Benefits, Skill Development / Learning, Company Culture",Promotions / Appraisal
Subros,3.9,(3k),Auto Components | Noida +63 other locations,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
American Express,4.2,(3k),Financial Services | New York City +42 other locations,"Company Culture, Work Life Balance, Job Security",
Square Yards,4.1,(2.9k),Real Estate | Gurgaon / Gurugram +44 other locations,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
Indian Oil Corporation,4.4,(2.9k),Oil & Gas | Delhi/NCR +279 other locations,"Company Culture, Work Life Balance, Job Security",
Pidilite Industries,4.3,(2.9k),Chemicals | Mumbai +258 other locations,"Job Security, Company Culture, Work Life Balance",
Automatic Data Processing (ADP),4.0,(2.9k),Software Product | New Jersey +31 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Berger Paints,3.7,(2.9k),Chemicals | Kolkata +279 other locations,,"Promotions / Appraisal, Work Life Balance, Company Culture"
Barclays,3.9,(2.9k),Banking | London +33 other locations,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Alembic Pharmaceuticals,4.0,(2.9k),Pharma | Vadodara/Baroda +159 other locations,"Salary & Benefits, Work Life Balance",
Sodexo,4.1,(2.9k),Facility Management Services | Issy les Moulineaux +139 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
Bharat Electronics,4.2,(2.9k),Electronics Manufacturing | Bangalore/Bengaluru +61 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Carelon Global Solutions,4.0,(2.9k),Software Product | Kurnool +18 other locations,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
Whitehat jr,3.5,(2.9k),EdTech | Mumbai +50 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Reliance Projects & Property Management Services,4.0,(2.9k),IT Services & Consulting | Pilkhuwa +549 other locations,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal
Lenskart,3.2,(2.9k),Internet | Faridabad +189 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Hindalco Industries,4.2,(2.8k),Metals & Mining | Mumbai +100 other locations,"Job Security, Skill Development / Learning, Work Life Balance",
Bank of America,4.3,(2.8k),Banking | Charlotte +29 other locations,"Job Security, Work Life Balance, Company Culture",
Dabur,4.0,(2.8k),FMCG | Ghaziabad +276 other locations,"Salary & Benefits, Job Security, Work Life Balance",
Ford Motor,4.4,(2.8k),Automobile | Dearborn +115 other locations,"Company Culture, Work Life Balance, Salary & Benefits",
RBL Bank,3.7,(2.8k),Banking | Mumbai +241 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Alkem Laboratories,3.9,(2.8k),Pharma | Mumbai +172 other locations,Salary & Benefits,
Maersk,4.3,(2.8k),Logistics | Copenhagen +42 other locations,"Work Life Balance, Company Culture, Job Security",
Jindal Steel and Power,4.0,(2.8k),Iron & Steel | Delhi/NCR +137 other locations,"Skill Development / Learning, Job Security",Promotions / Appraisal
Cogent E Services,3.3,(2.8k),Noida +43 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
